
Sync-Point 0, TimeBin=0, Time: 0.01, Redshift: 99, Systemstep: 0, Dloga: 0, Nsync-grv:      10648, Nsync-hyd:          0
Sync-Point 112, TimeBin=19, Time: 0.0165482, Redshift: 59.4296, Systemstep: 7.42539e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 113, TimeBin=19, Time: 0.0166228, Redshift: 59.1585, Systemstep: 7.45886e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 114, TimeBin=19, Time: 0.0166977, Redshift: 58.8885, Systemstep: 7.49248e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 115, TimeBin=19, Time: 0.0167729, Redshift: 58.6198, Systemstep: 7.52625e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 116, TimeBin=19, Time: 0.0168485, Redshift: 58.3523, Systemstep: 7.56018e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 117, TimeBin=19, Time: 0.0169245, Redshift: 58.086, Systemstep: 7.59425e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 118, TimeBin=19, Time: 0.0170008, Redshift: 57.8208, Systemstep: 7.62848e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 119, TimeBin=19, Time: 0.0170774, Redshift: 57.5569, Systemstep: 7.66287e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 120, TimeBin=19, Time: 0.0171544, Redshift: 57.2942, Systemstep: 7.69741e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 121, TimeBin=19, Time: 0.0172317, Redshift: 57.0326, Systemstep: 7.7321e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 122, TimeBin=19, Time: 0.0173094, Redshift: 56.7722, Systemstep: 7.76695e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 123, TimeBin=19, Time: 0.0173874, Redshift: 56.5129, Systemstep: 7.80196e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 124, TimeBin=19, Time: 0.0174658, Redshift: 56.2549, Systemstep: 7.83713e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 125, TimeBin=19, Time: 0.0175445, Redshift: 55.998, Systemstep: 7.87245e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

